id,slice,x,y,throughput(Kbps),allocatedCell
88,4,46,3,5795.0,4
89,4,88,8,7091.0,4
90,2,12,54,195.0,10
91,2,98,9,160.0,10
92,1,81,99,118.0,10
93,2,55,21,128.0,10
94,4,34,8,4684.0,4
95,1,12,75,119.0,10
96,2,95,49,80.0,10
97,2,96,74,150.0,10
98,2,37,83,100.0,10
99,4,87,13,1971.0,4
100,3,52,42,84038.0,2
101,3,70,96,32411.0,6
102,1,77,35,133.0,10
103,2,72,34,117.0,10
104,3,27,70,18799.0,5
105,4,94,69,2465.0,4
106,2,16,86,148.0,10
107,3,3,81,82324.0,4
108,1,54,67,138.0,10
109,1,60,19,120.0,10
110,3,59,44,39662.0,6
111,4,86,74,4569.0,4
112,1,87,36,108.0,10
113,4,83,63,6124.0,4
114,3,64,62,49176.0,3
115,2,8,64,167.0,10
116,2,23,56,268.0,10
117,3,79,0,19994.0,5
118,1,54,6,121.0,10
119,1,90,10,170.0,10
120,4,59,26,5214.0,4
121,2,85,81,190.0,10
122,3,62,37,77416.0,1
123,1,86,27,171.0,10
124,4,91,31,3430.0,4
125,3,32,42,6626.0,8
126,2,79,68,163.0,10
127,3,44,19,8473.0,5
128,3,1,79,42923.0,8
129,3,25,23,38653.0,7
130,4,67,6,2207.0,4
131,1,61,81,118.0,10
132,4,6,52,2538.0,4
133,2,17,46,36.0,10
134,4,46,96,4299.0,4
135,2,15,43,260.0,10
136,3,0,94,89767.0,4
137,4,91,80,7247.0,9
138,4,25,16,7745.0,9
139,1,65,86,137.0,10
140,4,50,63,4609.0,9
141,2,5,89,259.0,10
142,1,34,97,99.0,10
143,3,80,68,48848.0,6
144,1,41,61,162.0,10
145,4,95,99,7376.0,9
146,3,82,52,50679.0,2
147,3,14,2,34244.0,7
148,4,20,96,2141.0,9
149,2,1,1,168.0,10
150,1,13,42,105.0,10
151,2,30,66,170.0,10
152,1,19,5,117.0,10
153,3,10,67,50015.0,10
154,2,13,46,159.0,10
155,1,73,65,182.0,10
156,4,57,79,7066.0,4
157,2,4,86,102.0,10
158,3,34,69,1898.0,5
159,4,31,46,4493.0,4
160,1,18,26,128.0,10
161,1,75,99,100.0,10
162,4,10,92,1603.0,9
163,2,0,96,71.0,10
164,2,80,59,137.0,10
165,2,29,60,239.0,10
166,1,98,83,138.0,10
167,4,66,34,7648.0,4
168,2,31,46,130.0,10
169,2,61,2,95.0,10
170,3,52,86,32889.0,5
171,4,51,87,2192.0,9
172,4,48,56,5585.0,9
173,1,93,34,154.0,10
174,3,78,18,44221.0,8
175,1,80,85,131.0,10
176,1,44,63,100.0,10
177,2,16,66,101.0,10
178,4,13,77,5856.0,9
179,4,59,92,7184.0,9
180,4,94,56,4889.0,1
181,3,73,40,82157.0,1
182,2,22,28,241.0,10
183,1,65,58,180.0,10
184,3,5,39,22843.0,5
185,3,29,28,75988.0,4
186,4,80,59,3728.0,9
187,1,58,84,151.0,10
188,3,43,2,82487.0,10
189,2,95,60,134.0,10
190,3,56,54,68862.0,7
191,1,18,61,168.0,10
192,4,38,34,5015.0,9
193,3,11,19,26220.0,2
194,1,69,80,155.0,10
195,1,75,87,148.0,10
196,2,82,95,113.0,10
197,2,10,32,234.0,10
198,2,96,68,194.0,10
199,3,92,41,87830.0,9
200,3,62,23,59256.0,8
201,2,97,49,260.0,10
202,1,65,93,181.0,10
203,1,4,53,121.0,10
204,2,87,26,53.0,10
205,1,75,17,166.0,10
206,2,10,23,90.0,10
207,1,43,2,177.0,10
208,1,71,29,194.0,10
209,4,24,61,2544.0,1
210,1,39,93,197.0,10
211,3,49,98,38230.0,3
212,1,9,95,151.0,10
213,4,47,40,4233.0,1
214,2,58,19,77.0,10
215,3,95,84,17875.0,5
216,2,86,86,144.0,10
217,3,99,67,33835.0,5
218,4,21,45,7072.0,1
219,2,16,49,67.0,10
220,2,31,3,183.0,10
221,1,89,75,172.0,10
222,2,63,43,245.0,10
223,2,6,82,60.0,10
224,3,27,95,42711.0,6
225,4,79,27,6040.0,1
226,1,73,29,95.0,10
227,2,63,32,277.0,10
228,2,81,66,218.0,10
229,1,71,4,142.0,10
230,4,40,55,4124.0,1
231,1,10,22,125.0,10
232,3,97,16,89147.0,0
233,1,71,75,170.0,10
234,3,63,29,3762.0,2
235,4,81,23,6479.0,1
236,4,47,17,1398.0,1
237,4,23,89,3856.0,1
238,1,28,30,169.0,10
239,3,17,39,2414.0,2
240,4,47,55,4350.0,1
241,3,78,6,3358.0,2
242,3,5,62,8626.0,2
243,2,66,24,153.0,10
244,4,23,74,5029.0,1
245,1,94,9,97.0,10
246,1,14,62,175.0,10
247,1,76,39,184.0,10
248,3,48,77,81718.0,0
249,1,97,64,89.0,10
250,1,31,73,178.0,10
251,4,9,7,1417.0,9
252,3,10,12,5833.0,2
253,4,32,99,6024.0,1
254,1,84,13,187.0,10
255,4,64,98,7246.0,1
256,1,61,60,144.0,10
257,1,48,49,151.0,10
258,2,24,97,224.0,10
259,2,63,81,106.0,10
260,2,27,6,181.0,10
261,3,50,92,4360.0,2
262,4,46,94,1127.0,9
263,4,7,1,3245.0,9
264,3,16,46,29993.0,0
265,4,3,16,3350.0,1
266,2,78,50,167.0,10
267,2,95,57,136.0,10
268,2,62,95,47.0,10
269,1,13,50,161.0,10
270,1,87,0,191.0,10
271,4,30,23,2990.0,9
272,4,76,62,7399.0,1
273,4,32,6,7508.0,4
274,4,5,21,5787.0,4
275,4,45,75,1774.0,9
276,4,55,25,7259.0,4
277,2,4,94,231.0,10
278,3,9,41,74375.0,0
279,3,54,89,40029.0,0
280,4,81,77,6827.0,1
281,1,97,39,200.0,10
282,4,8,44,6964.0,4
283,4,62,11,3285.0,9
284,4,44,51,1361.0,9
285,1,4,57,182.0,10
286,3,61,27,2935.0,2
287,1,10,11,89.0,10
288,3,91,84,45482.0,0
289,2,13,4,31.0,10
290,1,93,9,98.0,10
291,3,3,73,8357.0,3
292,2,75,35,171.0,10
293,1,94,54,146.0,10
294,1,84,69,140.0,10
295,4,40,92,7320.0,1
296,3,30,59,55603.0,0
297,1,56,11,185.0,10
298,1,60,14,141.0,10
299,1,21,23,171.0,10
300,2,22,24,71.0,10
301,3,5,29,51480.0,0
302,1,92,13,141.0,10
303,1,50,7,129.0,10
304,3,53,33,50213.0,0
305,2,62,82,241.0,10
306,2,1,94,100.0,10
307,3,66,34,50195.0,0
308,4,90,91,5141.0,1
309,4,78,89,6560.0,0
310,3,31,85,22233.0,0
311,1,67,49,88.0,10
312,3,67,50,11477.0,7
313,1,39,58,90.0,10
314,4,74,78,4031.0,9
315,3,18,14,41172.0,0
316,1,30,57,188.0,10
317,1,42,92,155.0,10
318,3,57,55,20425.0,5
319,3,55,78,52268.0,0
320,4,57,99,6345.0,0
321,3,15,92,57599.0,0
322,2,88,85,210.0,10
323,2,85,29,202.0,10
324,3,27,19,78702.0,0
325,2,94,60,148.0,10
326,3,47,19,83669.0,0
327,1,59,27,86.0,10
328,3,25,31,57264.0,0
329,3,42,4,60440.0,0
330,4,70,89,4645.0,0
331,4,2,19,7914.0,0
332,2,91,1,285.0,10
333,3,73,23,42254.0,0
334,1,75,44,195.0,10
335,3,35,21,25157.0,0
336,3,46,81,29112.0,0
337,2,60,83,43.0,10
338,1,77,13,96.0,10
339,1,46,81,127.0,10
340,4,95,56,1891.0,1
341,3,38,19,58633.0,0
342,4,76,5,2029.0,0
343,1,75,85,189.0,10
344,3,88,71,43152.0,0
345,1,27,16,170.0,10
346,1,11,23,139.0,10
347,1,67,53,183.0,10
348,3,89,6,15446.0,2
349,3,10,30,86687.0,0
350,3,88,92,38628.0,0
351,1,81,4,95.0,10
352,1,89,85,90.0,10
353,3,11,16,8740.0,3
354,4,78,61,2441.0,0
355,1,46,99,86.0,10
356,2,19,39,64.0,10
357,1,38,35,170.0,10
358,4,77,89,5667.0,0
359,3,10,68,3972.0,3
360,3,26,87,11397.0,0
361,3,65,13,62365.0,0
362,1,64,60,181.0,10
363,3,85,18,85424.0,0
364,1,50,5,144.0,10
365,3,79,51,26284.0,0
366,3,55,77,6476.0,0
367,2,39,80,39.0,10
368,4,89,88,6612.0,0
369,2,54,79,277.0,10
370,4,71,71,4827.0,0
371,2,65,14,204.0,10
372,3,5,26,74630.0,0
373,1,24,99,179.0,10
374,4,80,47,5456.0,0
375,4,91,0,1009.0,9
376,1,50,97,119.0,10
377,3,61,19,33556.0,0
378,3,99,24,79542.0,0
379,4,84,3,4475.0,0
380,2,78,13,147.0,10
381,1,65,23,114.0,10
382,4,20,88,6108.0,0
383,3,12,83,63580.0,0
384,3,35,8,45637.0,0
385,2,30,60,244.0,10
386,2,25,65,218.0,10
387,3,81,73,9273.0,0
388,1,11,73,157.0,10
389,4,9,54,7758.0,0
390,3,95,21,14996.0,0
391,1,51,83,171.0,10
392,1,74,18,109.0,10
393,4,36,30,3618.0,0
394,3,13,41,72375.0,0
395,2,43,60,104.0,10
396,2,85,48,42.0,10
397,3,29,32,34870.0,0
398,1,80,63,119.0,10
399,2,38,6,55.0,10
400,4,26,83,1260.0,9
401,1,22,20,87.0,10
402,1,91,20,137.0,10
403,1,76,22,179.0,10
404,3,0,71,36594.0,0
405,3,46,65,85436.0,0
406,1,72,84,153.0,10
407,1,35,86,100.0,10
408,4,75,63,1804.0,0
409,4,78,77,5393.0,0
410,3,14,58,25608.0,0
411,4,80,59,4538.0,0
412,1,75,12,112.0,10
413,2,31,97,38.0,10
414,1,63,14,200.0,10
415,2,49,3,114.0,10
416,3,47,82,2003.0,2
417,4,23,19,5779.0,0
418,2,70,15,139.0,10
419,2,7,89,35.0,10
420,4,58,34,4048.0,0
421,3,10,90,50724.0,0
422,4,12,28,5035.0,0
423,3,95,17,51047.0,0
424,1,75,36,154.0,10
425,1,81,87,111.0,10
426,1,57,14,98.0,10
427,1,69,24,194.0,10
428,1,66,31,105.0,10
429,3,36,55,20472.0,0
430,3,89,45,30963.0,0
431,1,90,9,193.0,10
432,1,90,52,108.0,10
433,1,93,50,181.0,10
434,4,27,21,1502.0,1
435,1,54,83,99.0,10
436,2,59,38,128.0,10
437,3,15,67,76883.0,0
438,1,93,92,128.0,10
439,1,80,55,107.0,10
440,4,39,97,7281.0,0
441,1,53,36,99.0,10
442,2,90,66,275.0,10
443,4,86,22,7221.0,0
444,3,41,12,86655.0,0
445,4,48,74,1731.0,0
446,2,77,29,249.0,10
447,4,75,12,1993.0,0
448,1,21,46,133.0,10
449,3,36,27,12884.0,0
450,4,3,87,5668.0,0
451,3,29,9,34022.0,0
452,4,6,71,4638.0,0
453,4,4,37,4688.0,0
454,1,89,40,181.0,10
455,2,24,64,124.0,10
456,1,9,79,159.0,10
457,4,5,83,3140.0,0
458,2,56,35,126.0,10
459,1,87,41,140.0,10
460,1,8,55,162.0,10
461,3,36,18,69461.0,0
462,3,92,70,82265.0,0
463,4,67,39,7482.0,0
464,1,54,29,136.0,10
465,1,19,82,146.0,10
466,4,33,68,2501.0,0
467,3,97,13,18149.0,0
468,2,1,69,149.0,10
469,2,94,37,284.0,10
470,4,21,62,6831.0,0
471,1,15,42,165.0,10
472,1,40,66,169.0,10
473,2,99,83,215.0,10
474,2,0,27,45.0,10
475,4,52,0,1937.0,0
476,1,44,73,115.0,10
477,3,66,50,45353.0,0
478,1,82,75,146.0,10
479,2,98,83,143.0,10
480,4,3,80,4043.0,0
481,1,23,70,105.0,10
482,2,79,94,222.0,10
483,1,49,63,146.0,10
484,2,55,2,48.0,10
485,2,89,41,155.0,10
486,3,45,52,8347.0,0
487,3,95,99,14485.0,0
488,3,62,51,71146.0,0
489,4,58,26,1269.0,0
490,2,69,91,176.0,10
491,3,52,26,73799.0,0
492,1,52,7,192.0,10
493,3,7,90,71289.0,0
494,3,51,70,19040.0,0
495,4,97,53,5478.0,0
496,3,6,8,70970.0,0
497,1,7,73,92.0,10
498,3,75,88,46801.0,0
499,2,9,78,62.0,10
500,1,72,54,135.0,10
501,1,84,58,117.0,10
502,2,88,31,66.0,10
503,4,68,82,3544.0,0
504,4,58,87,3976.0,0
505,1,10,32,95.0,10
506,4,41,58,5083.0,0
507,2,23,14,184.0,10
508,4,76,9,5723.0,0
509,3,84,20,21766.0,0
510,4,30,5,6375.0,0
511,4,83,12,7193.0,0
512,4,40,88,3051.0,0
513,3,14,26,11302.0,0
514,4,3,69,7567.0,0
515,4,13,33,7911.0,0
516,4,43,59,5827.0,0
517,4,57,36,5505.0,0
518,1,77,19,108.0,10
519,4,74,72,2594.0,0
520,4,30,74,2699.0,0
521,1,96,66,95.0,10
522,4,94,6,4226.0,0
523,4,56,78,5588.0,0
524,2,87,56,300.0,10
525,1,41,21,141.0,10
526,1,68,36,93.0,10
527,4,76,30,3499.0,0
528,1,61,9,94.0,10
529,3,15,50,54385.0,0
530,4,26,61,1056.0,9
531,3,50,14,60955.0,0
532,2,51,80,120.0,10
533,4,64,44,4053.0,0
534,1,44,2,190.0,10
535,2,56,18,291.0,10
536,2,47,78,196.0,10
537,1,0,17,91.0,10
538,4,40,35,1329.0,0
539,4,77,62,4101.0,0
540,4,78,72,5622.0,0
541,2,32,84,117.0,10
542,2,94,67,269.0,10
543,2,60,8,148.0,10
544,3,86,53,86879.0,0
545,2,86,18,91.0,10
546,1,18,13,122.0,10
547,3,47,60,9219.0,0
548,3,55,13,30296.0,0
549,2,32,66,171.0,10
550,2,99,18,277.0,10
551,4,77,12,3840.0,0
552,1,31,31,164.0,10
553,1,36,69,119.0,10
554,4,21,63,6897.0,0
555,4,79,44,4969.0,0
556,3,9,5,85848.0,0
557,2,28,13,227.0,10
558,3,95,32,71058.0,0
559,4,64,25,3938.0,0
560,3,74,59,25545.0,0
561,1,76,60,105.0,10
562,4,4,33,6253.0,0
563,1,9,26,135.0,10
564,2,71,67,234.0,10
565,3,3,35,45622.0,0
566,1,19,5,168.0,10
567,2,42,19,103.0,10
568,3,56,36,29186.0,0
569,2,58,94,244.0,10
570,3,96,5,32868.0,0
571,3,4,19,46004.0,0
572,4,59,51,7061.0,0
573,3,22,57,70664.0,0
574,1,27,29,147.0,10
575,4,31,44,6760.0,0
576,2,31,26,266.0,10
577,2,97,45,109.0,10
578,1,85,58,138.0,10
579,2,10,98,257.0,10
580,4,19,84,5676.0,0
581,3,85,66,86936.0,0
582,1,51,33,136.0,10
583,4,38,23,4264.0,0
584,3,40,50,25776.0,0
585,3,75,50,82445.0,0
586,4,67,60,2380.0,0
587,2,4,16,294.0,10
588,2,10,0,217.0,10
589,1,46,65,162.0,10
590,3,20,94,15691.0,0
591,2,84,40,71.0,10
592,2,55,28,142.0,10
593,4,13,60,1606.0,0
594,4,94,16,7253.0,0
595,2,32,30,97.0,10
596,2,49,22,174.0,10
597,1,34,13,192.0,10
598,4,97,20,2859.0,0
599,1,3,91,111.0,10
600,2,6,1,146.0,10
601,2,23,2,99.0,10
602,1,87,24,132.0,10
603,2,43,25,78.0,10
604,2,68,36,224.0,10
605,3,54,71,58382.0,0
606,4,51,10,7560.0,0
607,4,4,47,5050.0,0
608,1,79,87,194.0,10
609,4,93,64,7141.0,0
610,2,95,6,140.0,10
611,2,87,69,127.0,10
612,1,22,45,163.0,10
613,2,41,36,88.0,10
614,4,95,46,6201.0,0
615,2,78,69,140.0,10
616,3,70,6,67741.0,0
617,3,14,22,48572.0,0
618,1,47,15,187.0,10
619,1,68,40,135.0,10
620,4,8,34,7745.0,0
621,3,18,88,17001.0,0
622,2,88,44,127.0,10
623,1,18,55,165.0,10
624,2,69,85,253.0,10
625,3,33,12,17254.0,0
626,2,87,68,154.0,10
627,3,68,72,20122.0,0
628,4,69,70,6062.0,0
629,4,5,99,7909.0,0
630,3,54,74,80588.0,0
631,1,17,82,183.0,10
632,4,78,6,2977.0,0
633,4,56,22,6284.0,0
634,3,22,83,71815.0,0
635,1,18,29,115.0,10
636,1,9,90,131.0,10
637,4,86,30,7179.0,0
638,3,96,68,87246.0,0
639,1,99,29,195.0,10
640,2,4,12,189.0,10
641,4,42,99,2086.0,0
642,1,4,53,102.0,10
643,2,9,13,181.0,10
644,4,16,52,7474.0,0
645,1,46,11,92.0,10
646,3,81,1,69892.0,0
647,1,87,12,118.0,10
648,2,85,67,246.0,10
649,3,32,45,70266.0,0
650,1,81,34,102.0,10
651,4,41,39,1452.0,0
652,2,64,64,180.0,10
653,2,65,29,180.0,10
654,3,58,28,19749.0,0
655,2,13,97,147.0,10
656,2,5,81,98.0,10
657,2,15,18,101.0,10
658,3,28,37,7820.0,0
659,4,52,62,4871.0,0
660,3,48,16,69676.0,0
661,3,32,45,4484.0,0
662,4,39,22,7081.0,0
663,2,48,6,71.0,10
664,3,26,5,78604.0,0
665,3,89,41,12958.0,0
666,3,95,84,21509.0,0
667,2,64,61,110.0,10
668,2,82,90,53.0,10
669,3,71,75,32060.0,0
670,3,36,39,47930.0,0
671,1,7,39,163.0,10
672,2,63,59,53.0,10
673,1,82,19,130.0,10
674,3,41,30,71587.0,0
675,2,21,51,265.0,10
676,4,88,62,1366.0,0
677,1,83,30,180.0,10
678,4,66,36,2924.0,0
679,1,16,31,93.0,10
680,2,63,22,103.0,10
681,2,6,43,68.0,10
682,1,28,12,145.0,10
683,3,52,81,45432.0,0
684,1,73,81,164.0,10
685,1,14,96,179.0,10
686,2,42,35,295.0,10
687,3,0,74,77162.0,0
688,1,40,66,191.0,10
689,1,64,2,155.0,10
690,1,61,60,108.0,10
691,1,89,94,160.0,10
692,1,40,86,123.0,10
693,1,78,59,169.0,10
694,4,96,30,5915.0,4
695,1,66,18,97.0,10
696,4,3,45,7235.0,0
697,4,53,19,4698.0,0
698,2,94,14,65.0,10
699,1,11,20,155.0,10
700,4,17,33,3792.0,0
701,3,11,46,16360.0,0
702,3,51,95,33735.0,0
703,2,44,99,197.0,10
704,2,38,34,149.0,10
705,2,17,30,295.0,10
706,1,15,70,120.0,10
707,4,20,16,4577.0,0
708,3,13,26,45428.0,0
709,3,70,52,6513.0,0
710,3,15,37,72766.0,0
711,1,68,60,176.0,10
712,1,96,90,110.0,10
713,4,19,98,4946.0,0
714,1,9,62,194.0,10
715,1,81,32,104.0,10
716,4,16,6,1925.0,0
717,3,40,13,69787.0,0
718,4,0,17,3706.0,0
719,3,79,81,8986.0,0
720,2,9,79,51.0,10
721,2,99,28,290.0,10
722,3,26,3,29824.0,0
723,3,95,8,23722.0,0
724,3,10,23,54174.0,0
725,3,20,53,54049.0,0
726,3,65,30,4685.0,0
727,2,21,57,164.0,10
728,2,4,74,203.0,10
729,1,23,68,155.0,10
730,3,16,43,70250.0,0
731,2,47,5,78.0,10
732,4,76,60,3666.0,0
733,3,33,60,74985.0,0
734,2,56,52,160.0,10
735,1,87,80,174.0,10
736,2,5,80,296.0,10
737,4,93,81,2393.0,0
738,3,49,92,63596.0,0
739,3,29,94,28308.0,0
740,2,22,92,235.0,10
741,4,69,28,7285.0,4
742,3,9,93,13117.0,0
743,1,3,49,130.0,10
744,1,11,96,151.0,10
745,4,13,38,4827.0,0
746,2,47,74,243.0,10
747,4,58,76,2175.0,0
748,1,27,62,175.0,10
749,2,34,91,149.0,10
750,2,34,84,231.0,10
751,3,40,41,42327.0,0
752,4,15,70,1930.0,0
753,3,62,43,38662.0,0
754,4,8,37,3833.0,0
755,1,70,19,157.0,10
756,2,10,15,184.0,10
757,4,1,29,6161.0,0
758,3,35,85,76603.0,0
759,4,96,75,5947.0,0
760,4,75,6,4195.0,0
761,3,43,78,69291.0,0
762,4,82,67,5869.0,0
763,2,60,71,138.0,10
764,4,85,49,6546.0,0
765,4,15,8,7093.0,0
766,2,63,97,298.0,10
767,4,24,9,4304.0,0
768,4,96,87,7428.0,4
769,3,93,96,47355.0,0
770,2,17,89,139.0,10
771,3,1,34,54825.0,0
772,4,36,3,3715.0,0
773,4,3,25,2191.0,0
774,4,13,25,3604.0,0
775,1,50,62,86.0,10
776,4,41,64,6586.0,0
777,2,96,96,271.0,10
778,1,85,49,88.0,10
779,2,29,31,201.0,10
780,1,72,69,106.0,10
781,2,80,2,139.0,10
782,1,38,91,140.0,10
783,1,51,22,199.0,10
784,1,60,96,185.0,10
785,3,16,14,72191.0,0
786,4,71,23,5458.0,0
787,3,31,49,16911.0,0
788,1,88,21,98.0,10
789,2,82,93,145.0,10
790,2,50,66,69.0,10
791,1,64,72,166.0,10
792,1,50,12,125.0,10
793,3,31,60,31839.0,0
794,1,58,13,93.0,10
795,4,62,53,2267.0,0
796,4,9,57,3243.0,0
797,2,99,43,74.0,10
798,3,25,38,45415.0,0
799,3,37,27,66726.0,0
800,3,24,84,82561.0,0
801,1,28,88,156.0,10
802,4,41,73,1272.0,0
803,3,37,72,3797.0,7
804,2,2,3,141.0,10
805,2,21,17,159.0,10
806,2,48,99,69.0,10
807,2,89,52,241.0,10
808,2,31,56,101.0,10
809,3,93,77,73924.0,0
810,1,7,26,146.0,10
811,1,55,4,96.0,10
812,3,85,43,49026.0,0
813,2,52,48,128.0,10
814,3,18,61,30372.0,0
815,3,87,17,73234.0,0
816,4,85,60,6847.0,4
817,3,64,47,70848.0,0
818,1,98,8,118.0,10
819,2,24,22,131.0,10
820,4,83,76,7032.0,0
821,2,42,4,78.0,10
822,4,49,81,5541.0,0
823,1,29,68,99.0,10
824,1,52,88,178.0,10
825,4,35,9,6975.0,0
826,3,35,84,28527.0,0
827,2,14,89,216.0,10
828,1,35,61,174.0,10
829,3,5,23,15412.0,0
830,3,0,89,83314.0,0
831,4,10,67,2903.0,0
832,4,82,24,7496.0,0
833,2,52,1,126.0,10
834,3,60,41,20429.0,0
835,1,49,5,132.0,10
836,2,87,42,294.0,10
837,4,63,15,2047.0,0
838,4,3,53,4429.0,0
839,3,68,76,70968.0,0
840,1,20,49,155.0,10
841,2,30,79,250.0,10
842,4,31,6,6584.0,0
843,3,33,64,25940.0,0
844,2,41,79,83.0,10
845,4,72,85,6579.0,0
846,3,30,85,63488.0,0
847,2,17,35,283.0,10
848,3,67,63,82659.0,0
849,2,47,29,129.0,10
850,3,82,69,5553.0,0
851,1,89,78,167.0,10
852,2,35,17,222.0,10
853,4,97,92,2916.0,0
854,3,90,81,53482.0,0
855,1,70,77,151.0,10
856,3,83,68,16868.0,0
857,3,64,60,2151.0,0
858,1,22,87,121.0,10
859,2,51,80,292.0,10
860,3,21,61,75893.0,0
861,1,3,7,162.0,10
862,1,60,7,177.0,10
863,2,64,31,293.0,10
864,3,22,83,70720.0,0
865,4,69,27,7495.0,0
866,4,98,60,7329.0,0
867,4,85,71,7632.0,0
868,4,67,41,4240.0,0
869,2,5,40,297.0,10
870,3,98,42,45846.0,0
871,2,13,16,244.0,10
872,2,56,88,95.0,10
873,3,83,83,47773.0,0
874,4,94,58,4885.0,0
875,1,50,61,172.0,10
876,3,19,90,59402.0,0
877,3,75,53,21249.0,0
878,1,25,84,86.0,10
879,4,42,24,6252.0,0
880,3,65,62,36090.0,0
881,2,60,33,111.0,10
882,1,24,84,98.0,10
883,1,21,49,154.0,0
884,4,81,53,7123.0,0
885,4,20,8,6329.0,0
886,4,19,60,1613.0,0
887,2,89,83,85.0,10
888,4,84,80,4633.0,0
889,3,29,95,82438.0,0
890,1,71,14,182.0,0
891,2,63,87,48.0,0
892,2,60,2,230.0,0
893,4,98,10,1190.0,0
894,4,20,49,4533.0,0
895,1,93,61,120.0,0
896,3,41,43,64078.0,0
897,2,8,45,92.0,0
898,1,19,83,173.0,0
899,1,15,89,101.0,0
900,3,29,11,55032.0,0
901,1,44,52,118.0,0
902,1,2,1,183.0,0
903,3,28,7,88348.0,0
904,4,81,95,6804.0,0
905,1,87,64,155.0,0
906,3,13,85,34432.0,0
907,2,1,93,38.0,10
908,3,70,13,58425.0,0
909,2,87,18,237.0,0
910,1,69,35,182.0,0
911,3,32,34,75027.0,0
912,1,78,57,197.0,0
913,2,2,51,69.0,0
914,2,54,97,193.0,0
915,3,71,30,85172.0,0
916,1,38,75,99.0,0
917,4,21,18,5899.0,0
918,1,56,63,173.0,0
919,1,4,2,182.0,0
920,4,77,64,5624.0,0
921,4,35,78,7776.0,0
922,3,0,59,3907.0,0
923,3,16,44,75270.0,0
924,2,54,49,298.0,0
925,2,21,73,131.0,0
926,4,14,15,5807.0,0
927,3,39,70,34220.0,0
928,4,63,7,6730.0,0
929,2,73,31,187.0,0
930,4,51,12,5185.0,0
931,2,54,21,276.0,0
932,3,67,18,66319.0,0
933,2,35,15,279.0,0
934,2,61,85,283.0,0
935,3,65,78,33320.0,0
936,1,24,5,189.0,0
937,4,15,17,3451.0,0
938,2,85,38,146.0,0
939,3,55,16,51525.0,0
940,2,53,64,175.0,0
941,1,19,56,143.0,0
942,4,9,37,2543.0,0
943,3,98,82,39517.0,0
944,4,95,56,2011.0,0
945,4,50,31,6892.0,0
946,4,92,25,6623.0,0
947,3,0,51,27253.0,0
948,1,75,7,200.0,0
949,1,89,57,91.0,0
950,4,89,66,4223.0,0
951,4,92,38,5339.0,0
952,2,93,54,128.0,0
953,4,23,55,5627.0,0
954,4,2,38,3645.0,0
955,4,43,48,3861.0,0
956,2,20,78,227.0,0
957,2,65,76,273.0,0
958,3,18,38,86221.0,0
959,2,22,84,51.0,0
960,1,26,82,117.0,0
961,2,15,25,102.0,0
962,4,13,16,2967.0,0
